subscription_id,event_type,month,plan_id,start_month,end_month
S1712,cancel,6.0,,,
S1714,pause,,,7.0,8.0
S1714,cancel,9.0,,,
S1716,pause,,,6.0,7.0
S1718,pause,,,7.0,8.0
S1720,pause,,,6.0,8.0
S1722,pause,,,7.0,9.0
S1724,pause,,,5.0,6.0
S1727,downgrade,5.0,BM,,
S1730,downgrade,9.0,BM,,
S1732,pause,,,7.0,9.0
S1733,downgrade,3.0,BM,,
S1734,downgrade,6.0,BM,,
S1738,pause,,,4.0,5.0
S1740,pause,,,4.0,5.0
S1742,pause,,,4.0,5.0
S1743,downgrade,4.0,BM,,
S1743,pause,,,3.0,5.0
S1745,cancel,11.0,,,
S1746,downgrade,7.0,BM,,
S1748,cancel,7.0,,,
S1752,pause,,,3.0,5.0
S1753,downgrade,7.0,BM,,
S1754,downgrade,8.0,BM,,
S1755,pause,,,7.0,8.0
S1759,cancel,11.0,,,
S1768,downgrade,3.0,BM,,
S1770,pause,,,3.0,5.0
S1771,downgrade,5.0,BM,,
S1771,pause,,,6.0,7.0
S1772,downgrade,4.0,BM,,
S1776,downgrade,8.0,BM,,
S1779,downgrade,7.0,BM,,
S1781,pause,,,7.0,9.0
S1783,downgrade,6.0,BM,,
S1785,pause,,,6.0,7.0
S1786,downgrade,4.0,BM,,
S1800,downgrade,7.0,BM,,
S1801,downgrade,6.0,BM,,
S1801,pause,,,3.0,4.0
S1802,cancel,7.0,,,
S1804,downgrade,4.0,BM,,
S1804,pause,,,4.0,6.0
S1807,downgrade,8.0,BM,,
S1807,pause,,,4.0,5.0
S1809,cancel,11.0,,,
S1812,pause,,,3.0,5.0
S1812,cancel,5.0,,,
S1813,pause,,,5.0,6.0
S1814,downgrade,9.0,BM,,
S1817,pause,,,5.0,6.0
S1818,downgrade,5.0,BM,,
S1821,cancel,8.0,,,
S1824,downgrade,5.0,BM,,
S1824,pause,,,7.0,9.0
S1825,downgrade,3.0,BM,,
S1825,pause,,,6.0,8.0
S1826,cancel,7.0,,,
S1828,pause,,,6.0,8.0
S1828,cancel,10.0,,,
S1833,pause,,,4.0,5.0
S1835,downgrade,6.0,BM,,
S1835,cancel,5.0,,,
S1837,downgrade,3.0,BM,,
S1839,downgrade,8.0,BM,,
S1841,pause,,,6.0,8.0
S1844,downgrade,6.0,BM,,
S1844,pause,,,4.0,6.0
S1844,cancel,10.0,,,
S1845,downgrade,5.0,BM,,
S1847,cancel,10.0,,,
S1849,cancel,5.0,,,
S1850,pause,,,4.0,6.0
S1851,downgrade,8.0,BM,,
S1851,cancel,8.0,,,
S1852,downgrade,8.0,BM,,
S1852,pause,,,3.0,4.0
S1854,cancel,9.0,,,
S1855,pause,,,7.0,8.0
S1856,downgrade,5.0,BM,,
S1857,downgrade,7.0,BM,,
S1864,pause,,,4.0,5.0
S1867,pause,,,7.0,8.0
S1868,downgrade,8.0,BM,,
S1871,pause,,,3.0,5.0
S1872,downgrade,8.0,BM,,
S1874,cancel,10.0,,,
S1878,cancel,9.0,,,
S1881,downgrade,7.0,BM,,
S1882,downgrade,5.0,BM,,
S1884,pause,,,7.0,9.0
S1884,cancel,7.0,,,
S1885,downgrade,8.0,BM,,
S1887,cancel,11.0,,,
S1891,pause,,,4.0,5.0
S1895,downgrade,3.0,BM,,
S1901,cancel,9.0,,,
S1903,downgrade,5.0,BM,,
S1903,pause,,,3.0,4.0
S1905,pause,,,7.0,8.0
S1909,downgrade,7.0,BM,,
S1910,pause,,,7.0,8.0
S1915,cancel,6.0,,,
S1918,pause,,,4.0,6.0
S1920,downgrade,7.0,BM,,
S1920,pause,,,6.0,7.0
S1923,downgrade,9.0,BM,,
S1925,downgrade,4.0,BM,,
S1927,cancel,7.0,,,
S1928,downgrade,5.0,BM,,
S1928,pause,,,6.0,8.0
S1931,pause,,,4.0,5.0
S1934,pause,,,7.0,9.0
S1935,downgrade,7.0,BM,,
S1938,downgrade,5.0,BM,,
S1943,downgrade,3.0,BM,,
S1943,pause,,,4.0,6.0
S1943,cancel,11.0,,,
S1945,cancel,6.0,,,
S1946,downgrade,9.0,BM,,
S1946,pause,,,4.0,5.0
S1949,downgrade,6.0,BM,,
S1950,downgrade,6.0,BM,,
S1950,pause,,,5.0,6.0
S1950,cancel,6.0,,,
S1951,pause,,,3.0,4.0
S1952,cancel,8.0,,,
S1954,pause,,,6.0,7.0
S1956,downgrade,7.0,BM,,
S1957,pause,,,4.0,5.0
S1959,downgrade,6.0,BM,,
S1961,pause,,,7.0,9.0
S1961,cancel,6.0,,,
S1962,downgrade,5.0,BM,,
S1963,downgrade,6.0,BM,,
S1965,pause,,,4.0,6.0
S1967,downgrade,9.0,BM,,
S1971,pause,,,3.0,4.0
S1971,cancel,5.0,,,
S1972,downgrade,8.0,BM,,
S1972,pause,,,6.0,7.0
S1973,pause,,,6.0,7.0
S1975,downgrade,6.0,BM,,
S1975,cancel,11.0,,,
S1982,cancel,8.0,,,
S1984,pause,,,7.0,9.0
S1987,downgrade,9.0,BM,,
S1987,pause,,,5.0,6.0
S1989,cancel,5.0,,,
S1990,pause,,,4.0,5.0
S1992,cancel,6.0,,,
S1994,pause,,,3.0,5.0
S1995,pause,,,4.0,6.0
S1997,downgrade,4.0,BM,,
S1998,pause,,,3.0,4.0
S2002,pause,,,4.0,6.0
S2008,pause,,,7.0,8.0
S2009,pause,,,6.0,7.0
S2013,downgrade,4.0,BM,,
S2013,pause,,,5.0,7.0
S2014,pause,,,5.0,6.0
S2015,downgrade,7.0,BM,,
S2017,pause,,,3.0,4.0
S2019,downgrade,3.0,BM,,
S2025,downgrade,6.0,BM,,
S2027,pause,,,4.0,6.0
S2028,downgrade,6.0,BM,,
S2030,downgrade,6.0,BM,,
S2031,pause,,,7.0,8.0
S2032,downgrade,5.0,BM,,
S2034,cancel,10.0,,,
S2036,pause,,,4.0,6.0
S2037,downgrade,9.0,BM,,
S2040,downgrade,6.0,BM,,
S2041,pause,,,7.0,9.0
S2042,cancel,5.0,,,
S2044,downgrade,3.0,BM,,
S2045,cancel,11.0,,,
S2047,downgrade,9.0,BM,,
S2051,downgrade,7.0,BM,,
S2053,pause,,,7.0,9.0
S2056,cancel,8.0,,,
S2058,downgrade,9.0,BM,,
S2059,downgrade,9.0,BM,,
S2066,downgrade,4.0,BM,,
S2069,pause,,,3.0,4.0
S2076,downgrade,3.0,BM,,
S2076,pause,,,3.0,5.0
S2077,downgrade,3.0,BM,,
S2082,downgrade,7.0,BM,,
S2083,pause,,,6.0,7.0
S2084,downgrade,8.0,BM,,
S2084,cancel,11.0,,,
S2085,pause,,,7.0,9.0
S2086,pause,,,3.0,5.0
S2087,downgrade,9.0,BM,,
S2089,pause,,,5.0,7.0
S2092,cancel,11.0,,,
S2094,cancel,8.0,,,
S2096,downgrade,9.0,BM,,
S2104,cancel,6.0,,,
S2105,pause,,,6.0,7.0
S2107,downgrade,6.0,BM,,
S2112,downgrade,6.0,BM,,
S2113,downgrade,6.0,BM,,
S2113,cancel,6.0,,,
S2114,pause,,,7.0,8.0
S2116,cancel,9.0,,,
S2120,pause,,,6.0,8.0
S2122,pause,,,7.0,9.0
S2123,downgrade,6.0,BM,,
S2124,pause,,,7.0,9.0
S2124,cancel,11.0,,,
S2126,cancel,7.0,,,
S2128,pause,,,3.0,5.0
S2138,downgrade,6.0,BM,,
S2139,downgrade,6.0,BM,,
S2142,cancel,8.0,,,
S2145,cancel,5.0,,,
S2149,downgrade,4.0,BM,,
S2154,downgrade,6.0,BM,,
S2154,cancel,6.0,,,
S2157,pause,,,4.0,6.0
S2159,downgrade,6.0,BM,,
S2162,downgrade,8.0,BM,,
S2162,cancel,6.0,,,
S2174,pause,,,4.0,5.0
S2176,pause,,,4.0,5.0
S2180,pause,,,4.0,6.0
S2181,pause,,,6.0,7.0
S2182,pause,,,6.0,7.0
S2183,pause,,,3.0,4.0
S2183,cancel,6.0,,,
S2184,pause,,,4.0,5.0
S2185,cancel,10.0,,,
S2187,pause,,,3.0,5.0
S2200,downgrade,8.0,BM,,
S2202,cancel,8.0,,,
S2204,cancel,10.0,,,
S2207,pause,,,5.0,7.0
S2209,downgrade,8.0,BM,,
S2212,pause,,,7.0,8.0
S2212,cancel,5.0,,,
S2213,downgrade,7.0,BM,,
S2213,pause,,,7.0,9.0
S2217,downgrade,4.0,BM,,
S2219,downgrade,6.0,BM,,
S2220,downgrade,9.0,BM,,
S2227,cancel,10.0,,,
S2230,pause,,,7.0,8.0
S2230,cancel,9.0,,,
S2232,cancel,8.0,,,
S2237,downgrade,6.0,BM,,
S2237,pause,,,3.0,4.0
S2238,pause,,,5.0,6.0
S2238,cancel,5.0,,,
S2239,downgrade,5.0,BM,,
S2243,downgrade,9.0,BM,,
S2243,pause,,,6.0,7.0
S2244,pause,,,7.0,9.0
S2245,pause,,,3.0,5.0
S2246,downgrade,9.0,BM,,
S2248,pause,,,6.0,7.0
S2249,pause,,,7.0,9.0
S2250,downgrade,7.0,BM,,
S2251,pause,,,4.0,5.0
S2251,cancel,7.0,,,
S2252,downgrade,8.0,BM,,
S2255,downgrade,9.0,BM,,
S2257,cancel,5.0,,,
S2259,downgrade,3.0,BM,,
S2260,pause,,,4.0,5.0
S2261,downgrade,9.0,BM,,
S2265,downgrade,7.0,BM,,
S2267,downgrade,6.0,BM,,
S2268,downgrade,5.0,BM,,
S2270,pause,,,6.0,7.0
S2271,pause,,,4.0,6.0
S2275,pause,,,6.0,7.0
S2277,downgrade,6.0,BM,,
S2277,pause,,,3.0,5.0
S2278,downgrade,8.0,BM,,
S2279,downgrade,9.0,BM,,
S2282,pause,,,6.0,7.0
S2283,cancel,5.0,,,
S2288,downgrade,9.0,BM,,
S2288,pause,,,7.0,8.0
S2289,downgrade,3.0,BM,,
S2289,pause,,,7.0,8.0
S2290,downgrade,8.0,BM,,
S2290,cancel,8.0,,,
S2292,pause,,,3.0,5.0
S2298,downgrade,6.0,BM,,
S2298,pause,,,7.0,9.0
S2300,pause,,,3.0,4.0
S2301,downgrade,5.0,BM,,
S2304,pause,,,4.0,5.0
S2305,downgrade,6.0,BM,,
S2305,pause,,,3.0,4.0
S2306,pause,,,7.0,8.0
S2307,pause,,,7.0,9.0
S2307,cancel,9.0,,,
S2309,downgrade,4.0,BM,,
S2312,downgrade,6.0,BM,,
S2314,downgrade,5.0,BM,,
S2317,downgrade,3.0,BM,,
S2320,downgrade,7.0,BM,,
S2321,downgrade,8.0,BM,,
S2322,downgrade,9.0,BM,,
S2324,cancel,10.0,,,
S2328,cancel,11.0,,,
S2330,pause,,,3.0,5.0
S2333,downgrade,3.0,BM,,
S2333,pause,,,4.0,5.0
S2336,cancel,9.0,,,
S2337,downgrade,8.0,BM,,
S2344,pause,,,4.0,6.0
S2344,cancel,5.0,,,
S2345,pause,,,7.0,8.0
S2346,pause,,,5.0,6.0
S2347,cancel,11.0,,,
S2351,pause,,,3.0,5.0
S2353,downgrade,6.0,BM,,
S2353,cancel,10.0,,,
S2354,pause,,,3.0,5.0
S2356,pause,,,6.0,7.0
S2358,downgrade,8.0,BM,,
S2359,downgrade,6.0,BM,,
S2359,cancel,9.0,,,
S2366,downgrade,7.0,BM,,
S2368,pause,,,5.0,6.0
S2368,cancel,9.0,,,
S2369,pause,,,3.0,4.0
S2372,cancel,11.0,,,
S2374,downgrade,9.0,BM,,
S2376,cancel,5.0,,,
S2383,downgrade,8.0,BM,,
S2384,downgrade,3.0,BM,,
S2384,pause,,,4.0,6.0
S2385,pause,,,7.0,9.0
S2387,downgrade,4.0,BM,,
S2389,cancel,11.0,,,
S2393,downgrade,4.0,BM,,
S2395,cancel,6.0,,,
S2396,downgrade,3.0,BM,,
S2398,pause,,,3.0,4.0
S2402,downgrade,3.0,BM,,
S2402,pause,,,3.0,4.0
S2403,downgrade,9.0,BM,,
S2405,downgrade,6.0,BM,,
S2409,downgrade,6.0,BM,,
S2411,cancel,5.0,,,
S2412,downgrade,9.0,BM,,
S2412,pause,,,5.0,6.0
S2413,downgrade,4.0,BM,,
S2413,pause,,,5.0,7.0
S2418,downgrade,9.0,BM,,
S2418,pause,,,7.0,9.0
S2425,cancel,9.0,,,
S2426,downgrade,3.0,BM,,
S2427,downgrade,4.0,BM,,
S2428,downgrade,3.0,BM,,
S2430,cancel,9.0,,,
S2436,cancel,6.0,,,
S2437,pause,,,4.0,6.0
S2439,downgrade,5.0,BM,,
S2439,cancel,5.0,,,
S2440,pause,,,4.0,5.0
S2441,pause,,,7.0,9.0
S2443,pause,,,5.0,6.0
S2444,downgrade,6.0,BM,,
S2445,pause,,,5.0,7.0
S2446,pause,,,6.0,7.0
S2453,pause,,,4.0,6.0
S2455,downgrade,7.0,BM,,
S2455,pause,,,7.0,8.0
S2457,downgrade,7.0,BM,,
S2458,downgrade,7.0,BM,,
S2460,downgrade,8.0,BM,,
S2460,cancel,8.0,,,
S2465,downgrade,4.0,BM,,
S2466,downgrade,5.0,BM,,
S2466,cancel,7.0,,,
S2468,pause,,,5.0,7.0
S2469,pause,,,5.0,7.0
S2470,downgrade,6.0,BM,,
S2471,cancel,9.0,,,
S2475,pause,,,5.0,6.0
S2476,downgrade,7.0,BM,,
S2477,downgrade,7.0,BM,,
S2477,pause,,,3.0,5.0
S2479,pause,,,5.0,6.0
S2480,pause,,,3.0,5.0
S2480,cancel,5.0,,,
S2482,downgrade,5.0,BM,,
S2482,cancel,11.0,,,
S2485,downgrade,9.0,BM,,
S2486,cancel,9.0,,,
S2487,downgrade,6.0,BM,,
S2488,downgrade,5.0,BM,,
S2490,pause,,,3.0,4.0
S2492,downgrade,9.0,BM,,
S2494,pause,,,4.0,6.0
S2495,pause,,,4.0,5.0
S2497,downgrade,8.0,BM,,
S2500,downgrade,3.0,BM,,
S2504,pause,,,7.0,8.0
S2506,downgrade,9.0,BM,,
S2511,downgrade,9.0,BM,,
S2513,cancel,8.0,,,
S2515,downgrade,6.0,BM,,
S2515,pause,,,7.0,9.0
S2518,pause,,,5.0,7.0
S2519,pause,,,3.0,4.0
S2521,downgrade,8.0,BM,,
S2522,pause,,,3.0,5.0
S2524,downgrade,7.0,BM,,
S2527,pause,,,6.0,8.0
S2528,pause,,,6.0,7.0
S2529,pause,,,4.0,5.0
S2530,pause,,,4.0,5.0
S2532,downgrade,8.0,BM,,
S2532,cancel,5.0,,,
S2534,downgrade,5.0,BM,,
S2539,pause,,,6.0,7.0
S2541,downgrade,5.0,BM,,
S2542,pause,,,7.0,9.0
S2547,downgrade,3.0,BM,,
S2547,pause,,,3.0,5.0
S2549,pause,,,4.0,6.0
S2550,downgrade,7.0,BM,,
S2552,pause,,,5.0,6.0
S2552,cancel,6.0,,,
S2555,pause,,,3.0,5.0
S2557,cancel,10.0,,,
S2558,downgrade,6.0,BM,,
S2558,pause,,,6.0,7.0
S2559,pause,,,5.0,7.0
S2559,cancel,11.0,,,
S2560,pause,,,7.0,8.0
S2561,pause,,,5.0,6.0
S2561,cancel,9.0,,,
S2563,cancel,9.0,,,
S2565,downgrade,8.0,BM,,
S2565,pause,,,5.0,6.0
S2566,downgrade,7.0,BM,,
S2566,cancel,5.0,,,
S2568,downgrade,6.0,BM,,
S2568,pause,,,3.0,4.0
S2571,pause,,,4.0,5.0
S2575,downgrade,8.0,BM,,
S2579,pause,,,4.0,5.0
S2581,pause,,,7.0,9.0
S2582,downgrade,4.0,BM,,
S2583,downgrade,8.0,BM,,
S2585,pause,,,5.0,6.0
S2586,downgrade,7.0,BM,,
S2595,pause,,,7.0,9.0
S2598,downgrade,8.0,BM,,
S2599,cancel,9.0,,,
S2609,downgrade,4.0,BM,,
S2611,downgrade,8.0,BM,,
S2612,pause,,,4.0,5.0
S2613,downgrade,9.0,BM,,
S2614,pause,,,6.0,7.0
S2615,pause,,,6.0,7.0
S2617,downgrade,4.0,BM,,
S2620,cancel,7.0,,,
S2622,downgrade,6.0,BM,,
S2623,pause,,,3.0,4.0
S2624,pause,,,7.0,8.0
S2627,cancel,11.0,,,
S2628,downgrade,7.0,BM,,
S2628,pause,,,3.0,4.0
S2630,pause,,,7.0,9.0
S2631,downgrade,9.0,BM,,
S2631,pause,,,4.0,5.0
S2632,cancel,8.0,,,
S2633,downgrade,9.0,BM,,
S2634,downgrade,4.0,BM,,
S2634,cancel,7.0,,,
S2635,pause,,,5.0,7.0
S2637,downgrade,6.0,BM,,
S2637,cancel,6.0,,,
S2640,pause,,,3.0,5.0
S2641,downgrade,8.0,BM,,
S2642,pause,,,4.0,5.0
S2648,pause,,,4.0,6.0
S2649,downgrade,4.0,BM,,
S2653,downgrade,6.0,BM,,
S2654,cancel,6.0,,,
S2660,downgrade,5.0,BM,,
S2665,pause,,,4.0,6.0
S2666,cancel,6.0,,,
S2667,pause,,,5.0,6.0
S2670,cancel,5.0,,,
S2672,pause,,,5.0,7.0
S2673,downgrade,8.0,BM,,
S2674,pause,,,6.0,7.0
S2675,downgrade,5.0,BM,,
S2675,cancel,5.0,,,
S2676,downgrade,6.0,BM,,
S2678,downgrade,3.0,BM,,
S2679,pause,,,4.0,5.0
S2685,pause,,,7.0,9.0
S2687,cancel,8.0,,,
S2690,downgrade,6.0,BM,,
S2693,cancel,6.0,,,
S2694,pause,,,4.0,6.0
S2696,pause,,,3.0,4.0
S2698,cancel,11.0,,,
S2699,downgrade,9.0,BM,,
S2699,pause,,,5.0,6.0
S2701,downgrade,8.0,BM,,
S2701,pause,,,5.0,6.0
S2702,downgrade,6.0,BM,,
S2706,downgrade,4.0,BM,,
S2707,pause,,,7.0,8.0
S2710,pause,,,3.0,5.0
S2716,downgrade,3.0,BM,,
S2717,pause,,,6.0,7.0
S2718,downgrade,5.0,BM,,
S2721,pause,,,3.0,4.0
S2724,downgrade,7.0,BM,,
S2725,downgrade,8.0,BM,,
S2726,downgrade,5.0,BM,,
S2730,pause,,,7.0,8.0
S2731,pause,,,3.0,4.0
S2735,pause,,,5.0,7.0
S2735,cancel,9.0,,,
S2740,downgrade,9.0,BM,,
S2740,pause,,,3.0,4.0
S2742,downgrade,7.0,BM,,
S2742,pause,,,6.0,7.0
S2744,pause,,,7.0,8.0
S2747,pause,,,7.0,9.0
S2750,downgrade,8.0,BM,,
S2750,pause,,,6.0,7.0
S2750,cancel,9.0,,,
S2752,pause,,,6.0,8.0
S2755,pause,,,3.0,4.0
S2756,cancel,9.0,,,
S2760,pause,,,7.0,8.0
S2765,pause,,,4.0,6.0
S2767,pause,,,3.0,4.0
S2768,cancel,8.0,,,
S2769,downgrade,6.0,BM,,
S2771,cancel,9.0,,,
S2775,cancel,8.0,,,
S2776,cancel,5.0,,,
S2777,cancel,10.0,,,
S2778,cancel,5.0,,,
S2779,pause,,,7.0,8.0
S2781,downgrade,8.0,BM,,
S2783,downgrade,6.0,BM,,
S2784,cancel,6.0,,,
S2787,downgrade,9.0,BM,,
S2789,downgrade,6.0,BM,,
S2790,downgrade,9.0,BM,,
S2791,downgrade,8.0,BM,,
S2792,cancel,9.0,,,
S2793,downgrade,8.0,BM,,
S2794,pause,,,4.0,5.0
S2797,downgrade,3.0,BM,,
S2800,downgrade,4.0,BM,,
S2801,pause,,,7.0,9.0
S2802,pause,,,5.0,6.0
S2803,cancel,11.0,,,
S2806,downgrade,3.0,BM,,
S2807,downgrade,7.0,BM,,
S2807,pause,,,4.0,6.0
S2809,cancel,5.0,,,
S2814,cancel,10.0,,,
S2820,pause,,,7.0,9.0
S2823,pause,,,4.0,6.0
S2824,downgrade,8.0,BM,,
S2824,pause,,,5.0,6.0
S2825,downgrade,3.0,BM,,
S2826,downgrade,8.0,BM,,
S2826,pause,,,3.0,5.0
S2826,cancel,5.0,,,
S2828,pause,,,4.0,6.0
S2829,cancel,7.0,,,
S2831,pause,,,5.0,7.0
S2838,cancel,6.0,,,
S2839,downgrade,6.0,BM,,
S2841,downgrade,8.0,BM,,
S2842,downgrade,7.0,BM,,
S2844,downgrade,8.0,BM,,
S2844,cancel,7.0,,,
S2846,cancel,7.0,,,
S2848,cancel,10.0,,,
S2852,downgrade,6.0,BM,,
S2853,downgrade,6.0,BM,,
S2853,pause,,,6.0,8.0
S2854,pause,,,5.0,7.0
S2855,pause,,,5.0,7.0
S2857,pause,,,6.0,8.0
S2863,downgrade,7.0,BM,,
S2863,pause,,,3.0,4.0
S2865,pause,,,4.0,5.0
S2868,cancel,11.0,,,
S2869,cancel,8.0,,,
S2874,pause,,,5.0,7.0
S2875,downgrade,3.0,BM,,
S2876,pause,,,4.0,5.0
S2879,downgrade,6.0,BM,,
S2879,cancel,10.0,,,
S2883,pause,,,3.0,5.0
S2885,downgrade,9.0,BM,,
S2885,pause,,,7.0,9.0
S2889,pause,,,7.0,8.0
S2892,pause,,,6.0,8.0
S2895,downgrade,5.0,BM,,
S2898,downgrade,3.0,BM,,
S2899,pause,,,6.0,8.0
S2902,downgrade,4.0,BM,,
S2902,pause,,,6.0,8.0
S2903,cancel,5.0,,,
S2906,pause,,,4.0,6.0
S2909,downgrade,8.0,BM,,
S2910,downgrade,6.0,BM,,
S2910,pause,,,4.0,6.0
S2913,pause,,,6.0,8.0
S2915,pause,,,7.0,8.0
S2922,pause,,,7.0,9.0
S2923,downgrade,3.0,BM,,
S2925,downgrade,3.0,BM,,
S2928,downgrade,8.0,BM,,
S2928,cancel,11.0,,,
S2930,downgrade,4.0,BM,,
S2931,pause,,,6.0,8.0
S2931,cancel,5.0,,,
S2934,pause,,,3.0,5.0
S2938,downgrade,4.0,BM,,
S2939,pause,,,7.0,9.0
S2941,pause,,,3.0,5.0
S2941,cancel,7.0,,,
S2942,downgrade,5.0,BM,,
S2942,cancel,10.0,,,
S2945,pause,,,3.0,4.0
S2946,pause,,,5.0,7.0
S2946,cancel,5.0,,,
S2947,pause,,,3.0,5.0
S2948,cancel,8.0,,,
S2950,pause,,,7.0,9.0
S2950,cancel,6.0,,,
S2951,downgrade,7.0,BM,,
S2952,downgrade,8.0,BM,,
S2952,pause,,,6.0,8.0
S2953,downgrade,6.0,BM,,
S2955,pause,,,5.0,6.0
S2962,pause,,,4.0,5.0
S2964,cancel,8.0,,,
S2965,downgrade,9.0,BM,,
S2966,cancel,8.0,,,
S2970,downgrade,3.0,BM,,
S2970,pause,,,3.0,5.0
S2971,downgrade,9.0,BM,,
S2972,pause,,,7.0,9.0
S2974,pause,,,6.0,7.0
S2975,pause,,,5.0,6.0
S2977,downgrade,5.0,BM,,
S2978,cancel,11.0,,,
S2979,pause,,,3.0,4.0
S2980,cancel,7.0,,,
S2981,pause,,,5.0,7.0
S2981,cancel,11.0,,,
S2983,pause,,,6.0,7.0
S2990,downgrade,5.0,BM,,
S2992,pause,,,6.0,8.0
S2994,pause,,,5.0,6.0
S2999,downgrade,7.0,BM,,
S2999,pause,,,5.0,6.0
S3000,downgrade,5.0,BM,,
S3000,pause,,,6.0,7.0
S3001,cancel,10.0,,,
S3002,cancel,9.0,,,
S3012,cancel,9.0,,,
S3014,downgrade,4.0,BM,,
S3014,pause,,,4.0,5.0
S3015,downgrade,8.0,BM,,
S3015,pause,,,7.0,8.0
S3017,pause,,,5.0,7.0
S3017,cancel,8.0,,,
S3020,downgrade,9.0,BM,,
S3029,pause,,,5.0,6.0
S3030,downgrade,3.0,BM,,
S3034,downgrade,6.0,BM,,
S3035,pause,,,5.0,7.0
S3041,pause,,,7.0,8.0
S3043,cancel,6.0,,,
S3045,pause,,,4.0,5.0
S3047,cancel,6.0,,,
S3051,pause,,,5.0,6.0
S3052,pause,,,5.0,6.0
S3052,cancel,9.0,,,
S3053,downgrade,4.0,BM,,
S3058,downgrade,6.0,BM,,
S3059,downgrade,7.0,BM,,
S3059,cancel,10.0,,,
S3061,downgrade,5.0,BM,,
S3062,pause,,,3.0,4.0
S3063,cancel,6.0,,,
S3064,cancel,8.0,,,
S3065,pause,,,7.0,8.0
S3066,pause,,,5.0,6.0
S3069,cancel,9.0,,,
S3072,pause,,,4.0,5.0
S3077,pause,,,4.0,6.0
S3079,downgrade,8.0,BM,,
S3081,downgrade,9.0,BM,,
S3083,pause,,,7.0,9.0
S3084,pause,,,6.0,8.0
S3088,downgrade,7.0,BM,,
S3088,pause,,,3.0,4.0
S3089,downgrade,7.0,BM,,
S3090,pause,,,6.0,8.0
S3095,downgrade,9.0,BM,,
S3096,downgrade,3.0,BM,,
S3099,pause,,,5.0,6.0
S3101,downgrade,7.0,BM,,
S3101,pause,,,4.0,5.0
S3102,pause,,,6.0,7.0
S3106,pause,,,4.0,5.0
S3109,cancel,6.0,,,
S3110,pause,,,3.0,4.0
S3111,pause,,,4.0,6.0
S3111,cancel,6.0,,,
S3113,downgrade,9.0,BM,,
S3116,downgrade,6.0,BM,,
S3116,pause,,,5.0,6.0
S3117,downgrade,4.0,BM,,
S3117,cancel,9.0,,,
S3119,downgrade,7.0,BM,,
S3119,pause,,,3.0,5.0
S3120,downgrade,4.0,BM,,
S3121,pause,,,7.0,8.0
S3121,cancel,8.0,,,
S3122,downgrade,4.0,BM,,
S3124,pause,,,3.0,5.0
S3127,downgrade,6.0,BM,,
S3127,pause,,,7.0,8.0
S3127,cancel,6.0,,,
S3128,downgrade,6.0,BM,,
S3131,downgrade,4.0,BM,,
S3133,pause,,,3.0,5.0
S3137,downgrade,3.0,BM,,
S3141,downgrade,3.0,BM,,
S3141,cancel,5.0,,,
S3144,downgrade,7.0,BM,,
S3149,downgrade,7.0,BM,,
S3150,pause,,,6.0,7.0
S3151,pause,,,5.0,6.0
S3153,pause,,,3.0,5.0
S3153,cancel,6.0,,,
S3154,cancel,10.0,,,
S3155,cancel,9.0,,,
S3156,pause,,,3.0,4.0
S3156,cancel,9.0,,,
S3157,downgrade,7.0,BM,,
S3158,downgrade,8.0,BM,,
S3161,pause,,,6.0,8.0
S3165,downgrade,7.0,BM,,
S3165,pause,,,6.0,8.0
S3167,downgrade,6.0,BM,,
S3167,cancel,11.0,,,
S3169,downgrade,6.0,BM,,
S3170,pause,,,6.0,7.0
S3174,pause,,,6.0,7.0
S3176,cancel,11.0,,,
S3177,pause,,,3.0,5.0
S3178,cancel,5.0,,,
S3179,downgrade,8.0,BM,,
S3180,pause,,,7.0,9.0
S3181,downgrade,7.0,BM,,
S3183,downgrade,9.0,BM,,
S3183,pause,,,3.0,4.0
S3185,downgrade,7.0,BM,,
S3186,pause,,,7.0,8.0
S3190,cancel,9.0,,,
S3193,cancel,6.0,,,
S3194,pause,,,3.0,4.0
S3199,cancel,10.0,,,
S3200,pause,,,5.0,7.0
S3201,pause,,,6.0,8.0
S3203,downgrade,6.0,BM,,
S3206,downgrade,4.0,BM,,
S3207,cancel,8.0,,,
S3209,pause,,,7.0,9.0
S3210,downgrade,9.0,BM,,
S3211,pause,,,3.0,5.0
S3212,downgrade,6.0,BM,,
S3212,cancel,9.0,,,
S3213,downgrade,5.0,BM,,
S3214,pause,,,4.0,5.0
S3215,downgrade,3.0,BM,,
S3215,pause,,,5.0,7.0
S3218,cancel,6.0,,,
S3219,downgrade,7.0,BM,,
S3223,pause,,,5.0,7.0
S3227,cancel,8.0,,,
S3229,downgrade,3.0,BM,,
S3230,downgrade,8.0,BM,,
S3230,pause,,,3.0,5.0
S3241,downgrade,4.0,BM,,
S3241,cancel,10.0,,,
S3245,pause,,,4.0,5.0
S3246,pause,,,5.0,7.0
S3247,downgrade,7.0,BM,,
S3248,downgrade,5.0,BM,,
S3250,pause,,,3.0,5.0
S3251,pause,,,5.0,6.0
S3252,downgrade,3.0,BM,,
S3255,downgrade,7.0,BM,,
S3256,downgrade,5.0,BM,,
S3258,downgrade,7.0,BM,,
S3262,pause,,,3.0,4.0
S3266,pause,,,3.0,5.0
S3267,pause,,,3.0,5.0
S3269,downgrade,9.0,BM,,
S3271,downgrade,5.0,BM,,
S3272,pause,,,6.0,7.0
S3273,downgrade,7.0,BM,,
